clan1,family1,clan2,family2,distance
CL00013,RF00100,CL00069,RF00570,3628.0
CL00013,RF00100,CL00069,RF01169,3626.0
CL00013,RF00100,CL00069,RF01278,3648.0
CL00013,RF00100,CL00116,RF03116,14604.0
CL00013,RF00100,CL00116,RF03117,22472.0
CL00013,RF00100,CL00116,RF03118,6217.0
CL00013,RF00100,CL00116,RF03119,32091.0
CL00013,RF00100,CL00116,RF03120,10564.0
CL00013,RF00100,CL00121,RF00114,2423.0
CL00013,RF00100,CL00121,RF03137,3618.0
CL00013,RF00100,CL00121,RF03143,3620.0
CL00013,RF00100,CL00121,RF03161,3648.0
CL00013,RF00100,CL00124,RF03155,3172.0
CL00013,RF00100,CL00124,RF03162,3534.0
CL00013,RF00100,CL00150,RF00742,3262.0
CL00013,RF00100,CL00150,RF04303,2334.0
CL00013,RF01052,CL00012,RF00162,49833.0
CL00013,RF01052,CL00012,RF00634,49547.0
CL00013,RF01052,CL00012,RF01725,49485.0
CL00013,RF01052,CL00013,RF00100,48364.0
CL00013,RF01052,CL00013,RF01052,0.0
CL00013,RF01052,CL00014,RF01315,50522.0
CL00013,RF01052,CL00014,RF01317,50528.0
CL00013,RF01052,CL00014,RF01327,50536.0
CL00013,RF01052,CL00014,RF01328,50532.0
CL00013,RF01052,CL00014,RF01338,50532.0
CL00013,RF01052,CL00014,RF01352,50536.0
CL00013,RF01052,CL00014,RF01379,50506.0
CL00013,RF01052,CL00024,RF00392,49738.0
CL00013,RF01052,CL00024,RF01240,47890.0
CL00013,RF01052,CL00034,RF00407,49453.0
CL00013,RF01052,CL00034,RF00430,49757.0
CL00013,RF01052,CL00034,RF00566,49350.0
CL00013,RF01052,CL00034,RF00598,49893.0
CL00013,RF01052,CL00069,RF00152,50412.0
CL00013,RF01052,CL00069,RF00181,50435.0
CL00013,RF01052,CL00069,RF00284,50423.0
CL00013,RF01052,CL00069,RF00357,49997.0
CL00013,RF01052,CL00069,RF00509,49637.0
CL00013,RF01052,CL00069,RF00530,50438.0
CL00013,RF01052,CL00069,RF00570,50430.0
CL00013,RF01052,CL00069,RF01169,50428.0
CL00013,RF01052,CL00069,RF01278,50450.0
CL00013,RF01052,CL00116,RF03116,34666.0
CL00013,RF01052,CL00116,RF03117,29228.0
CL00013,RF01052,CL00116,RF03118,42503.0
CL00013,RF01052,CL00116,RF03119,17267.0
CL00013,RF01052,CL00116,RF03120,38708.0
CL00013,RF01052,CL00121,RF00114,49033.0
CL00013,RF01052,CL00121,RF03137,50466.0
CL00013,RF01052,CL00121,RF03143,50422.0
CL00013,RF01052,CL00121,RF03161,50450.0
CL00013,RF01052,CL00124,RF03155,50092.0
CL00013,RF01052,CL00124,RF03162,50396.0
CL00013,RF01052,CL00150,RF00742,50004.0
CL00013,RF01052,CL00150,RF04303,49020.0
CL00014,RF01315,CL00012,RF00162,927.0
CL00014,RF01315,CL00012,RF00634,1267.0
CL00014,RF01315,CL00012,RF01725,1199.0
CL00014,RF01315,CL00013,RF00100,3720.0
CL00014,RF01315,CL00013,RF01052,50522.0
CL00014,RF01315,CL00014,RF01315,0.0
CL00014,RF01315,CL00014,RF01317,30.0
CL00014,RF01315,CL00014,RF01327,34.0
CL00014,RF01315,CL00014,RF01328,38.0
CL00014,RF01315,CL00014,RF01338,38.0
CL00014,RF01315,CL00014,RF01352,34.0
CL00014,RF01315,CL00014,RF01379,40.0
CL00014,RF01315,CL00024,RF00392,940.0
CL00014,RF01315,CL00024,RF01240,2922.0
CL00014,RF01315,CL00034,RF00407,1249.0
CL00014,RF01315,CL00034,RF00430,921.0
CL00014,RF01315,CL00034,RF00566,1314.0
CL00014,RF01315,CL00034,RF00598,791.0
CL00014,RF01315,CL00069,RF00152,134.0
CL00014,RF01315,CL00069,RF00181,111.0
CL00014,RF01315,CL00069,RF00284,123.0
CL00014,RF01315,CL00069,RF00357,537.0
CL00014,RF01315,CL00069,RF00509,885.0
CL00014,RF01315,CL00069,RF00530,116.0
CL00014,RF01315,CL00069,RF00570,92.0
CL00014,RF01315,CL00069,RF01169,118.0
CL00014,RF01315,CL00069,RF01278,96.0
CL00014,RF01315,CL00116,RF03116,17324.0
CL00014,RF01315,CL00116,RF03117,25320.0
CL00014,RF01315,CL00116,RF03118,8227.0
CL00014,RF01315,CL00116,RF03119,34371.0
CL00014,RF01315,CL00116,RF03120,12724.0
CL00014,RF01315,CL00121,RF00114,1593.0
CL00014,RF01315,CL00121,RF03137,130.0
CL00014,RF01315,CL00121,RF03143,100.0
CL00014,RF01315,CL00121,RF03161,96.0
CL00014,RF01315,CL00124,RF03155,732.0
CL00014,RF01315,CL00124,RF03162,284.0
CL00014,RF01315,CL00150,RF00742,518.0
CL00014,RF01315,CL00150,RF04303,1502.0
CL00014,RF01317,CL00012,RF00162,933.0
CL00014,RF01317,CL00012,RF00634,1273.0
CL00014,RF01317,CL00012,RF01725,1205.0
CL00014,RF01317,CL00013,RF00100,3726.0
CL00014,RF01317,CL00013,RF01052,50528.0
CL00014,RF01317,CL00014,RF01315,30.0
CL00014,RF01317,CL00014,RF01317,0.0
CL00014,RF01317,CL00014,RF01327,32.0
CL00014,RF01317,CL00014,RF01328,12.0
CL00014,RF01317,CL00014,RF01338,12.0
CL00014,RF01317,CL00014,RF01352,32.0
CL00014,RF01317,CL00014,RF01379,22.0
CL00014,RF01317,CL00024,RF00392,946.0
CL00014,RF01317,CL00024,RF01240,2928.0
CL00014,RF01317,CL00034,RF00407,1255.0
CL00014,RF01317,CL00034,RF00430,927.0
CL00014,RF01317,CL00034,RF00566,1320.0
CL00014,RF01317,CL00034,RF00598,797.0
CL00014,RF01317,CL00069,RF00152,156.0
CL00014,RF01317,CL00069,RF00181,133.0
CL00014,RF01317,CL00069,RF00284,145.0
CL00014,RF01317,CL00069,RF00357,533.0
CL00014,RF01317,CL00069,RF00509,891.0
CL00014,RF01317,CL00069,RF00530,130.0
CL00014,RF01317,CL00069,RF00570,98.0
CL00014,RF01317,CL00069,RF01169,140.0
CL00014,RF01317,CL00069,RF01278,118.0
CL00014,RF01317,CL00116,RF03116,17330.0
CL00014,RF01317,CL00116,RF03117,25326.0
CL00014,RF01317,CL00116,RF03118,8233.0
CL00014,RF01317,CL00116,RF03119,34377.0
CL00014,RF01317,CL00116,RF03120,12730.0
CL00014,RF01317,CL00121,RF00114,1599.0
CL00014,RF01317,CL00121,RF03137,136.0
CL00014,RF01317,CL00121,RF03143,106.0
CL00014,RF01317,CL00121,RF03161,78.0
CL00014,RF01317,CL00124,RF03155,738.0
CL00014,RF01317,CL00124,RF03162,288.0
CL00014,RF01317,CL00150,RF00742,524.0
CL00014,RF01317,CL00150,RF04303,1508.0
CL00014,RF01327,CL00012,RF00162,941.0
CL00014,RF01327,CL00012,RF00634,1281.0
CL00014,RF01327,CL00012,RF01725,1213.0
CL00014,RF01327,CL00013,RF00100,3734.0
CL00014,RF01327,CL00013,RF01052,50536.0
CL00014,RF01327,CL00014,RF01315,34.0
CL00014,RF01327,CL00014,RF01317,32.0
CL00014,RF01327,CL00014,RF01327,0.0
CL00014,RF01327,CL00014,RF01328,44.0
CL00014,RF01327,CL00014,RF01338,44.0
CL00014,RF01327,CL00014,RF01352,0.0
CL00014,RF01327,CL00014,RF01379,30.0
CL00014,RF01327,CL00024,RF00392,954.0
CL00014,RF01327,CL00024,RF01240,2936.0
CL00014,RF01327,CL00034,RF00407,1263.0
CL00014,RF01327,CL00034,RF00430,935.0
CL00014,RF01327,CL00034,RF00566,1328.0
CL00014,RF01327,CL00034,RF00598,805.0
CL00014,RF01327,CL00069,RF00152,124.0
CL00014,RF01327,CL00069,RF00181,101.0
CL00014,RF01327,CL00069,RF00284,113.0
CL00014,RF01327,CL00069,RF00357,539.0
CL00014,RF01327,CL00069,RF00509,899.0
CL00014,RF01327,CL00069,RF00530,98.0
CL00014,RF01327,CL00069,RF00570,106.0
CL00014,RF01327,CL00069,RF01169,108.0
CL00014,RF01327,CL00069,RF01278,86.0
CL00014,RF01327,CL00116,RF03116,17338.0
CL00014,RF01327,CL00116,RF03117,25334.0
CL00014,RF01327,CL00116,RF03118,8241.0
CL00014,RF01327,CL00116,RF03119,34385.0
CL00014,RF01327,CL00116,RF03120,12738.0
CL00014,RF01327,CL00121,RF00114,1607.0
CL00014,RF01327,CL00121,RF03137,144.0
CL00014,RF01327,CL00121,RF03143,114.0
CL00014,RF01327,CL00121,RF03161,86.0
CL00014,RF01327,CL00124,RF03155,746.0
CL00014,RF01327,CL00124,RF03162,296.0
CL00014,RF01327,CL00150,RF00742,532.0
CL00014,RF01327,CL00150,RF04303,1516.0
CL00014,RF01328,CL00012,RF00162,937.0
CL00014,RF01328,CL00012,RF00634,1277.0
CL00014,RF01328,CL00012,RF01725,1209.0
CL00014,RF01328,CL00013,RF00100,3730.0
CL00014,RF01328,CL00013,RF01052,50532.0
CL00014,RF01328,CL00014,RF01315,38.0
CL00014,RF01328,CL00014,RF01317,12.0
CL00014,RF01328,CL00014,RF01327,44.0
CL00014,RF01328,CL00014,RF01328,0.0
CL00014,RF01328,CL00014,RF01338,0.0
CL00014,RF01328,CL00014,RF01352,44.0
CL00014,RF01328,CL00014,RF01379,26.0
CL00014,RF01328,CL00024,RF00392,950.0
CL00014,RF01328,CL00024,RF01240,2932.0
CL00014,RF01328,CL00034,RF00407,1259.0
CL00014,RF01328,CL00034,RF00430,931.0
CL00014,RF01328,CL00034,RF00566,1324.0
CL00014,RF01328,CL00034,RF00598,801.0
CL00014,RF01328,CL00069,RF00152,152.0
CL00014,RF01328,CL00069,RF00181,129.0
CL00014,RF01328,CL00069,RF00284,153.0
CL00014,RF01328,CL00069,RF00357,535.0
CL00014,RF01328,CL00069,RF00509,895.0
CL00014,RF01328,CL00069,RF00530,142.0
CL00014,RF01328,CL00069,RF00570,102.0
CL00014,RF01328,CL00069,RF01169,132.0
CL00014,RF01328,CL00069,RF01278,126.0
CL00014,RF01328,CL00116,RF03116,17334.0
CL00014,RF01328,CL00116,RF03117,25330.0
CL00014,RF01328,CL00116,RF03118,8237.0
CL00014,RF01328,CL00116,RF03119,34381.0
CL00014,RF01328,CL00116,RF03120,12734.0
CL00014,RF01328,CL00121,RF00114,1603.0
CL00014,RF01328,CL00121,RF03137,140.0
CL00014,RF01328,CL00121,RF03143,110.0
CL00014,RF01328,CL00121,RF03161,82.0
CL00014,RF01328,CL00124,RF03155,742.0
CL00014,RF01328,CL00124,RF03162,292.0
CL00014,RF01328,CL00150,RF00742,528.0
CL00014,RF01328,CL00150,RF04303,1512.0
CL00014,RF01338,CL00012,RF00162,937.0
CL00014,RF01338,CL00012,RF00634,1277.0
CL00014,RF01338,CL00012,RF01725,1209.0
CL00014,RF01338,CL00013,RF00100,3730.0
CL00014,RF01338,CL00013,RF01052,50532.0
CL00014,RF01338,CL00014,RF01315,38.0
CL00014,RF01338,CL00014,RF01317,12.0
CL00014,RF01338,CL00014,RF01327,44.0
CL00014,RF01338,CL00014,RF01328,0.0
CL00014,RF01338,CL00014,RF01338,0.0
CL00014,RF01338,CL00014,RF01352,44.0
CL00014,RF01338,CL00014,RF01379,26.0
CL00014,RF01338,CL00024,RF00392,950.0
CL00014,RF01338,CL00024,RF01240,2932.0
CL00014,RF01338,CL00034,RF00407,1259.0
CL00014,RF01338,CL00034,RF00430,931.0
CL00014,RF01338,CL00034,RF00566,1324.0
CL00014,RF01338,CL00034,RF00598,801.0
CL00014,RF01338,CL00069,RF00152,152.0
CL00014,RF01338,CL00069,RF00181,129.0
CL00014,RF01338,CL00069,RF00284,153.0
CL00014,RF01338,CL00069,RF00357,535.0
CL00014,RF01338,CL00069,RF00509,895.0
CL00014,RF01338,CL00069,RF00530,142.0
CL00014,RF01338,CL00069,RF00570,102.0
CL00014,RF01338,CL00069,RF01169,132.0
CL00014,RF01338,CL00069,RF01278,126.0
CL00014,RF01338,CL00116,RF03116,17334.0
CL00014,RF01338,CL00116,RF03117,25330.0
CL00014,RF01338,CL00116,RF03118,8237.0
CL00014,RF01338,CL00116,RF03119,34381.0
CL00014,RF01338,CL00116,RF03120,12734.0
CL00014,RF01338,CL00121,RF00114,1603.0
CL00014,RF01338,CL00121,RF03137,140.0
CL00014,RF01338,CL00121,RF03143,110.0
CL00014,RF01338,CL00121,RF03161,82.0
CL00014,RF01338,CL00124,RF03155,742.0
CL00014,RF01338,CL00124,RF03162,292.0
CL00014,RF01338,CL00150,RF00742,528.0
CL00014,RF01338,CL00150,RF04303,1512.0
CL00014,RF01352,CL00012,RF00162,941.0
CL00014,RF01352,CL00012,RF00634,1281.0
CL00014,RF01352,CL00012,RF01725,1213.0
CL00014,RF01352,CL00013,RF00100,3734.0
CL00014,RF01352,CL00013,RF01052,50536.0
CL00014,RF01352,CL00014,RF01315,34.0
CL00014,RF01352,CL00014,RF01317,32.0
CL00014,RF01352,CL00014,RF01327,0.0
CL00014,RF01352,CL00014,RF01328,44.0
CL00014,RF01352,CL00014,RF01338,44.0
CL00014,RF01352,CL00014,RF01352,0.0
CL00014,RF01352,CL00014,RF01379,30.0
CL00014,RF01352,CL00024,RF00392,954.0
CL00014,RF01352,CL00024,RF01240,2936.0
CL00014,RF01352,CL00034,RF00407,1263.0
CL00014,RF01352,CL00034,RF00430,935.0
CL00014,RF01352,CL00034,RF00566,1328.0
CL00014,RF01352,CL00034,RF00598,805.0
CL00014,RF01352,CL00069,RF00152,124.0
CL00014,RF01352,CL00069,RF00181,101.0
CL00014,RF01352,CL00069,RF00284,113.0
CL00014,RF01352,CL00069,RF00357,539.0
CL00014,RF01352,CL00069,RF00509,899.0
CL00014,RF01352,CL00069,RF00530,98.0
CL00014,RF01352,CL00069,RF00570,106.0
CL00014,RF01352,CL00069,RF01169,108.0
CL00014,RF01352,CL00069,RF01278,86.0
CL00014,RF01352,CL00116,RF03116,17338.0
CL00014,RF01352,CL00116,RF03117,25334.0
CL00014,RF01352,CL00116,RF03118,8241.0
CL00014,RF01352,CL00116,RF03119,34385.0
CL00014,RF01352,CL00116,RF03120,12738.0
CL00014,RF01352,CL00121,RF00114,1607.0
CL00014,RF01352,CL00121,RF03137,144.0
CL00014,RF01352,CL00121,RF03143,114.0
CL00014,RF01352,CL00121,RF03161,86.0
CL00014,RF01352,CL00124,RF03155,746.0
CL00014,RF01352,CL00124,RF03162,296.0
CL00014,RF01352,CL00150,RF00742,532.0
CL00014,RF01352,CL00150,RF04303,1516.0
CL00014,RF01379,CL00012,RF00162,919.0
CL00014,RF01379,CL00012,RF00634,1251.0
CL00014,RF01379,CL00012,RF01725,1183.0
CL00014,RF01379,CL00013,RF00100,3704.0
CL00014,RF01379,CL00013,RF01052,50506.0
CL00014,RF01379,CL00014,RF01315,40.0
CL00014,RF01379,CL00014,RF01317,22.0
CL00014,RF01379,CL00014,RF01327,30.0
CL00014,RF01379,CL00014,RF01328,26.0
CL00014,RF01379,CL00014,RF01338,26.0
CL00014,RF01379,CL00014,RF01352,30.0
CL00014,RF01379,CL00014,RF01379,0.0
CL00014,RF01379,CL00024,RF00392,924.0
CL00014,RF01379,CL00024,RF01240,2906.0
CL00014,RF01379,CL00034,RF00407,1233.0
CL00014,RF01379,CL00034,RF00430,905.0
CL00014,RF01379,CL00034,RF00566,1298.0
CL00014,RF01379,CL00034,RF00598,775.0
CL00014,RF01379,CL00069,RF00152,150.0
CL00014,RF01379,CL00069,RF00181,127.0
CL00014,RF01379,CL00069,RF00284,139.0
CL00014,RF01379,CL00069,RF00357,545.0
CL00014,RF01379,CL00069,RF00509,869.0
CL00014,RF01379,CL00069,RF00530,124.0
CL00014,RF01379,CL00069,RF00570,76.0
CL00014,RF01379,CL00069,RF01169,134.0
CL00014,RF01379,CL00069,RF01278,112.0
CL00014,RF01379,CL00116,RF03116,17308.0
CL00014,RF01379,CL00116,RF03117,25304.0
CL00014,RF01379,CL00116,RF03118,8211.0
CL00014,RF01379,CL00116,RF03119,34355.0
CL00014,RF01379,CL00116,RF03120,12708.0
CL00014,RF01379,CL00121,RF00114,1577.0
CL00014,RF01379,CL00121,RF03137,130.0
CL00014,RF01379,CL00121,RF03143,84.0
CL00014,RF01379,CL00121,RF03161,64.0
CL00014,RF01379,CL00124,RF03155,716.0
CL00014,RF01379,CL00124,RF03162,266.0
CL00014,RF01379,CL00150,RF00742,502.0
CL00014,RF01379,CL00150,RF04303,1486.0
CL00024,RF00392,CL00012,RF00162,409.0
CL00024,RF00392,CL00012,RF00634,545.0
CL00024,RF00392,CL00012,RF01725,873.0
CL00024,RF00392,CL00013,RF00100,2846.0
CL00024,RF00392,CL00013,RF01052,49738.0
CL00024,RF00392,CL00014,RF01315,940.0
CL00024,RF00392,CL00014,RF01317,946.0
CL00024,RF00392,CL00014,RF01327,954.0
CL00024,RF00392,CL00014,RF01328,950.0
CL00024,RF00392,CL00014,RF01338,950.0
CL00024,RF00392,CL00014,RF01352,954.0
CL00024,RF00392,CL00014,RF01379,924.0
CL00024,RF00392,CL00024,RF00392,0.0
CL00024,RF00392,CL00024,RF01240,2028.0
CL00024,RF00392,CL00034,RF00407,417.0
CL00024,RF00392,CL00034,RF00430,87.0
CL00024,RF00392,CL00034,RF00566,486.0
CL00024,RF00392,CL00034,RF00598,303.0
CL00024,RF00392,CL00069,RF00152,876.0
CL00024,RF00392,CL00069,RF00181,871.0
CL00024,RF00392,CL00069,RF00284,883.0
CL00024,RF00392,CL00069,RF00357,647.0
CL00024,RF00392,CL00069,RF00509,871.0
CL00024,RF00392,CL00069,RF00530,886.0
CL00024,RF00392,CL00069,RF00570,864.0
CL00024,RF00392,CL00069,RF01169,872.0
CL00024,RF00392,CL00069,RF01278,868.0
CL00024,RF00392,CL00116,RF03116,16404.0
CL00024,RF00392,CL00116,RF03117,24380.0
CL00024,RF00392,CL00116,RF03118,7455.0
CL00024,RF00392,CL00116,RF03119,33569.0
CL00024,RF00392,CL00116,RF03120,11856.0
CL00024,RF00392,CL00121,RF00114,1143.0
CL00024,RF00392,CL00121,RF03137,920.0
CL00024,RF00392,CL00121,RF03143,888.0
CL00024,RF00392,CL00121,RF03161,892.0
CL00024,RF00392,CL00124,RF03155,680.0
CL00024,RF00392,CL00124,RF03162,778.0
CL00024,RF00392,CL00150,RF00742,828.0
CL00024,RF00392,CL00150,RF04303,966.0
CL00024,RF01240,CL00012,RF00162,2189.0
CL00024,RF01240,CL00012,RF00634,1953.0
CL00024,RF01240,CL00012,RF01725,2005.0
CL00024,RF01240,CL00013,RF00100,3046.0
CL00024,RF01240,CL00013,RF01052,47890.0
CL00024,RF01240,CL00014,RF01315,2922.0
CL00024,RF01240,CL00014,RF01317,2928.0
CL00024,RF01240,CL00014,RF01327,2936.0
CL00024,RF01240,CL00014,RF01328,2932.0
CL00024,RF01240,CL00014,RF01338,2932.0
CL00024,RF01240,CL00014,RF01352,2936.0
CL00024,RF01240,CL00014,RF01379,2906.0
CL00024,RF01240,CL00024,RF00392,2028.0
CL00024,RF01240,CL00024,RF01240,0.0
CL00024,RF01240,CL00034,RF00407,1735.0
CL00024,RF01240,CL00034,RF00430,2051.0
CL00024,RF01240,CL00034,RF00566,1634.0
CL00024,RF01240,CL00034,RF00598,2165.0
CL00024,RF01240,CL00069,RF00152,2812.0
CL00024,RF01240,CL00069,RF00181,2835.0
CL00024,RF01240,CL00069,RF00284,2823.0
CL00024,RF01240,CL00069,RF00357,2451.0
CL00024,RF01240,CL00069,RF00509,2147.0
CL00024,RF01240,CL00069,RF00530,2838.0
CL00024,RF01240,CL00069,RF00570,2830.0
CL00024,RF01240,CL00069,RF01169,2828.0
CL00024,RF01240,CL00069,RF01278,2850.0
CL00024,RF01240,CL00116,RF03116,14778.0
CL00024,RF01240,CL00116,RF03117,22754.0
CL00024,RF01240,CL00116,RF03118,5703.0
CL00024,RF01240,CL00116,RF03119,31753.0
CL00024,RF01240,CL00116,RF03120,9966.0
CL00024,RF01240,CL00121,RF00114,1941.0
CL00024,RF01240,CL00121,RF03137,2794.0
CL00024,RF01240,CL00121,RF03143,2822.0
CL00024,RF01240,CL00121,RF03161,2850.0
CL00024,RF01240,CL00124,RF03155,2492.0
CL00024,RF01240,CL00124,RF03162,2730.0
CL00024,RF01240,CL00150,RF00742,2478.0
CL00024,RF01240,CL00150,RF04303,1806.0
CL00034,RF00407,CL00012,RF00162,598.0
CL00034,RF00407,CL00012,RF00634,796.0
CL00034,RF00407,CL00012,RF01725,1170.0
CL00034,RF00407,CL00013,RF00100,2643.0
CL00034,RF00407,CL00013,RF01052,49453.0
CL00034,RF00407,CL00014,RF01315,1249.0
CL00034,RF00407,CL00014,RF01317,1255.0
CL00034,RF00407,CL00014,RF01327,1263.0
CL00034,RF00407,CL00014,RF01328,1259.0
